PROVINCIA,AÑO,ACCIDENTES,VICTIMAS,FALLECIDOS,HERIDOS_GRAVES,HERIDOS_LEVES,PROVINCIA_NORM
A Coruña,2019,1816,2579,44,279,2256,a coruna
A Coruña,2020,1227,1676,29,200,1447,a coruna
A Coruña,2021,1458,2014,38,223,1753,a coruna
A Coruña,2022,1654,2334,55,244,2035,a coruna
Albacete,2019,702,917,23,108,786,albacete
Albacete,2020,557,704,9,52,643,albacete
Albacete,2021,732,1002,10,79,913,albacete
Albacete,2022,650,849,13,83,753,albacete
Alicante,2019,2853,3927,68,340,3519,alicante
Alicante,2020,1882,2517,53,266,2198,alicante
Alicante,2021,2404,3303,57,318,2928,alicante
Alicante,2022,3323,4406,53,348,4005,alicante
Almería,2019,1092,1647,31,113,1503,almeria
Almería,2020,861,1242,38,92,1112,almeria
Almería,2021,696,1082,31,83,968,almeria
Almería,2022,1205,1719,32,128,1559,almeria
Asturias,2019,1981,2751,27,196,2528,asturias
Asturias,2020,1552,2044,14,155,1875,asturias
Asturias,2021,1831,2431,26,164,2241,asturias
Asturias,2022,1762,2324,26,173,2125,asturias
Badajoz,2019,881,1273,29,105,1139,badajoz
Badajoz,2020,651,899,22,76,801,badajoz
Badajoz,2021,777,1105,23,95,987,badajoz
Badajoz,2022,1027,1406,23,113,1270,badajoz
Baleares,2019,3356,4462,41,295,4126,baleares
Baleares,2020,2092,2727,33,201,2493,baleares
Baleares,2021,2748,3556,40,282,3234,baleares
Baleares,2022,3078,3987,32,328,3627,baleares
Barcelona,2019,20591,26740,127,1042,25571,barcelona
Barcelona,2020,13403,17015,88,696,16231,barcelona
Barcelona,2021,16683,21225,84,851,20290,barcelona
Barcelona,2022,17394,22307,123,943,21241,barcelona
Bizkaia,2019,2024,2709,22,151,2536,bizkaia
Bizkaia,2020,1408,1882,16,130,1736,bizkaia
Bizkaia,2021,1862,2429,16,166,2247,bizkaia
Bizkaia,2022,1883,2456,18,153,2285,bizkaia
Burgos,2019,638,871,13,84,774,burgos
Burgos,2020,375,539,18,75,446,burgos
Burgos,2021,552,726,15,65,646,burgos
Burgos,2022,619,792,30,100,662,burgos
Cantabria,2019,920,1350,13,82,1255,cantabria
Cantabria,2020,830,1112,14,83,1015,cantabria
Cantabria,2021,974,1318,13,118,1187,cantabria
Cantabria,2022,1009,1369,18,116,1235,cantabria
Castellón,2019,878,1188,21,156,1011,castellon
Castellón,2020,688,855,12,132,711,castellon
Castellón,2021,811,1100,24,151,925,castellon
Castellón,2022,990,1327,25,168,1134,castellon
Ceuta,2019,309,460,2,18,440,ceuta
Ceuta,2020,172,248,2,8,238,ceuta
Ceuta,2021,244,364,0,8,356,ceuta
Ceuta,2022,257,366,1,10,355,ceuta
Ciudad Real,2019,463,667,20,37,610,ciudad real
Ciudad Real,2020,351,469,27,45,397,ciudad real
Ciudad Real,2021,385,576,20,62,494,ciudad real
Ciudad Real,2022,414,584,27,50,507,ciudad real
Cuenca,2019,271,394,8,61,325,cuenca
Cuenca,2020,166,243,18,34,191,cuenca
Cuenca,2021,286,443,24,58,361,cuenca
Cuenca,2022,288,459,21,65,373,cuenca
Cáceres,2019,531,750,16,69,665,caceres
Cáceres,2020,378,489,13,73,403,caceres
Cáceres,2021,497,670,10,66,594,caceres
Cáceres,2022,451,625,12,55,558,caceres
Cádiz,2019,2765,3947,36,226,3685,cadiz
Cádiz,2020,2125,3032,17,208,2807,cadiz
Cádiz,2021,2463,3482,36,204,3242,cadiz
Cádiz,2022,2629,3679,33,211,3435,cadiz
Córdoba,2019,1142,1610,34,160,1416,cordoba
Córdoba,2020,809,1089,13,122,954,cordoba
Córdoba,2021,993,1401,27,144,1230,cordoba
Córdoba,2022,927,1314,31,136,1147,cordoba
Gipuzkoa,2019,1799,2266,21,175,2070,gipuzkoa
Gipuzkoa,2020,1549,1912,17,179,1716,gipuzkoa
Gipuzkoa,2021,1720,2138,16,181,1941,gipuzkoa
Gipuzkoa,2022,1736,2185,17,178,1990,gipuzkoa
Girona,2019,2520,3430,36,242,3152,girona
Girona,2020,1843,2373,22,184,2167,girona
Girona,2021,2027,2685,45,207,2433,girona
Girona,2022,2135,2782,47,203,2532,girona
Granada,2019,1783,2513,21,135,2357,granada
Granada,2020,1126,1510,31,112,1367,granada
Granada,2021,1416,1977,34,112,1831,granada
Granada,2022,1510,2071,29,137,1905,granada
Guadalajara,2019,312,449,5,31,413,guadalajara
Guadalajara,2020,277,359,11,23,325,guadalajara
Guadalajara,2021,315,435,5,33,397,guadalajara
Guadalajara,2022,372,521,7,41,473,guadalajara
Huelva,2019,752,1147,20,83,1044,huelva
Huelva,2020,509,772,22,71,679,huelva
Huelva,2021,698,1027,28,72,927,huelva
Huelva,2022,685,1024,23,66,935,huelva
Huesca,2019,441,621,26,76,519,huesca
Huesca,2020,340,448,15,58,375,huesca
Huesca,2021,392,545,12,72,461,huesca
Huesca,2022,435,596,26,82,488,huesca
Jaén,2019,835,1224,19,61,1144,jaen
Jaén,2020,617,849,18,58,773,jaen
Jaén,2021,658,924,19,68,837,jaen
Jaén,2022,796,1121,17,75,1029,jaen
La Rioja,2019,594,773,18,59,696,la rioja
La Rioja,2020,461,580,15,62,503,la rioja
La Rioja,2021,569,731,10,72,649,la rioja
La Rioja,2022,654,817,11,72,734,la rioja
Las Palmas,2019,2158,3129,27,103,2999,las palmas
Las Palmas,2020,1790,2462,18,97,2347,las palmas
Las Palmas,2021,1971,2600,24,113,2463,las palmas
Las Palmas,2022,2068,2783,26,145,2612,las palmas
León,2019,745,1099,31,109,959,leon
León,2020,471,647,22,90,535,leon
León,2021,496,718,26,101,591,leon
León,2022,477,656,19,98,539,leon
Lleida,2019,1352,1977,35,184,1758,lleida
Lleida,2020,995,1335,20,104,1211,lleida
Lleida,2021,1140,1559,37,163,1359,lleida
Lleida,2022,1341,1799,14,170,1615,lleida
Lugo,2019,453,655,19,73,563,lugo
Lugo,2020,381,515,15,65,435,lugo
Lugo,2021,412,558,10,63,485,lugo
Lugo,2022,449,612,20,69,523,lugo
Madrid,2019,16628,21291,134,889,20268,madrid
Madrid,2020,10766,13427,89,654,12684,madrid
Madrid,2021,13476,17026,101,817,16108,madrid
Madrid,2022,15086,19092,108,791,18193,madrid
Melilla,2019,376,476,0,17,459,melilla
Melilla,2020,242,327,0,17,310,melilla
Melilla,2021,339,429,0,12,417,melilla
Melilla,2022,300,386,2,17,367,melilla
Murcia,2019,2682,3843,46,267,3530,murcia
Murcia,2020,2048,2828,37,202,2589,murcia
Murcia,2021,2523,3584,44,243,3297,murcia
Murcia,2022,3136,4350,53,294,4003,murcia
Málaga,2019,5006,6818,49,286,6483,malaga
Málaga,2020,3544,4731,44,257,4430,malaga
Málaga,2021,4475,6137,52,245,5840,malaga
Málaga,2022,4961,6649,53,245,6351,malaga
Navarra,2019,789,1014,25,128,861,navarra
Navarra,2020,576,725,18,99,608,navarra
Navarra,2021,880,1139,25,117,997,navarra
Navarra,2022,788,983,28,154,801,navarra
Ourense,2019,390,525,11,86,428,ourense
Ourense,2020,352,454,12,71,371,ourense
Ourense,2021,386,508,13,64,431,ourense
Ourense,2022,433,539,13,58,468,ourense
Palencia,2019,163,232,11,61,160,palencia
Palencia,2020,121,166,7,30,129,palencia
Palencia,2021,151,207,9,34,164,palencia
Palencia,2022,196,274,10,58,206,palencia
Pontevedra,2019,1868,2866,32,217,2617,pontevedra
Pontevedra,2020,1491,2155,37,134,1984,pontevedra
Pontevedra,2021,1664,2401,34,146,2221,pontevedra
Pontevedra,2022,1957,2714,25,178,2511,pontevedra
S.C. Tenerife,2019,2242,3091,36,345,2710,s.c. tenerife
S.C. Tenerife,2020,1669,2253,27,265,1961,s.c. tenerife
S.C. Tenerife,2021,1994,2796,26,257,2513,s.c. tenerife
S.C. Tenerife,2022,2137,2946,33,278,2635,s.c. tenerife
Salamanca,2019,388,555,12,45,498,salamanca
Salamanca,2020,266,380,19,41,320,salamanca
Salamanca,2021,415,563,5,54,504,salamanca
Salamanca,2022,546,689,16,57,616,salamanca
Segovia,2019,325,450,9,32,409,segovia
Segovia,2020,227,288,10,20,258,segovia
Segovia,2021,221,321,6,29,286,segovia
Segovia,2022,296,423,14,39,370,segovia
Sevilla,2019,4589,6669,61,317,6291,sevilla
Sevilla,2020,3201,4485,49,239,4197,sevilla
Sevilla,2021,4073,5850,46,275,5529,sevilla
Sevilla,2022,3983,5731,69,266,5396,sevilla
Soria,2019,123,181,7,32,142,soria
Soria,2020,105,147,6,20,121,soria
Soria,2021,93,143,13,29,101,soria
Soria,2022,105,140,14,26,100,soria
Tarragona,2019,2113,2839,44,221,2574,tarragona
Tarragona,2020,1538,2011,29,191,1791,tarragona
Tarragona,2021,2045,2661,26,211,2424,tarragona
Tarragona,2022,2189,2809,44,248,2517,tarragona
Teruel,2019,185,260,7,51,202,teruel
Teruel,2020,170,250,7,44,199,teruel
Teruel,2021,177,236,9,53,174,teruel
Teruel,2022,227,299,7,48,244,teruel
Toledo,2019,777,1156,27,91,1038,toledo
Toledo,2020,595,832,25,69,738,toledo
Toledo,2021,681,978,33,90,855,toledo
Toledo,2022,880,1303,21,88,1194,toledo
Valencia,2019,4404,5844,62,433,5349,valencia
Valencia,2020,3114,3994,43,310,3641,valencia
Valencia,2021,4312,5619,41,402,5176,valencia
Valencia,2022,4771,6038,62,566,5410,valencia
Valladolid,2019,895,1184,16,82,1086,valladolid
Valladolid,2020,616,805,13,80,712,valladolid
Valladolid,2021,813,1070,22,109,939,valladolid
Valladolid,2022,790,1054,21,112,921,valladolid
Zamora,2019,206,321,11,49,261,zamora
Zamora,2020,179,244,9,48,187,zamora
Zamora,2021,219,329,7,47,275,zamora
Zamora,2022,202,290,20,47,223,zamora
Zaragoza,2019,1609,2201,25,202,1974,zaragoza
Zaragoza,2020,1169,1543,31,167,1345,zaragoza
Zaragoza,2021,1546,2044,22,207,1815,zaragoza
Zaragoza,2022,1589,2065,37,218,1810,zaragoza
Álava,2019,1029,1324,10,115,1199,alava
Álava,2020,849,1034,5,101,928,alava
Álava,2021,877,1140,10,109,1021,alava
Álava,2022,839,1139,8,138,993,alava
Ávila,2019,336,448,8,39,401,avila
Ávila,2020,235,309,8,34,267,avila
Ávila,2021,292,387,7,40,340,avila
Ávila,2022,287,393,17,49,327,avila
